Gene ID,Gene Symbol,TF
ENSG00000054118.13,THRAP3,MYBL2
ENSG00000054148.17,PHPT1,MYBL2
ENSG00000054148.17,PHPT1,MYBL2
ENSG00000054267.20,ARID4B,MYBL2
ENSG00000054267.20,ARID4B,MYBL2
ENSG00000054282.15,SDCCAG8,MYBL2
ENSG00000054523.17,KIF1B,MYBL2
ENSG00000054523.17,KIF1B,MYBL2
ENSG00000054611.13,TBC1D22A,MYBL2
ENSG00000054965.10,FAM168A,MYBL2
ENSG00000054967.12,RELT,MYBL2
ENSG00000055044.10,NOP58,MYBL2
ENSG00000055070.16,SZRD1,MYBL2
ENSG00000055130.15,CUL1,MYBL2
ENSG00000055147.18,FAM114A2,MYBL2
ENSG00000055211.12,GINM1,MYBL2
ENSG00000055211.12,GINM1,MYBL2
ENSG00000055332.16,EIF2AK2,MYBL2
ENSG00000055483.19,USP36,MYBL2
ENSG00000055609.17,KMT2C,MYBL2
ENSG00000055950.16,MRPL43,MYBL2
ENSG00000056050.6,HPF1,MYBL2
ENSG00000056097.15,ZFR,MYBL2
ENSG00000056277.15,ZNF280C,MYBL2
ENSG00000056558.10,TRAF1,MYBL2
ENSG00000056586.15,RC3H2,MYBL2
ENSG00000056736.9,IL17RB,MYBL2
ENSG00000056972.18,TRAF3IP2,MYBL2
ENSG00000057019.15,DCBLD2,MYBL2
ENSG00000057019.15,DCBLD2,MYBL2
ENSG00000057252.12,SOAT1,MYBL2
ENSG00000057468.6,MSH4,MYBL2
ENSG00000057593.13,F7,MYBL2
ENSG00000057663.13,ATG5,MYBL2
ENSG00000057757.9,PITHD1,MYBL2
ENSG00000057935.13,MTA3,MYBL2
ENSG00000058056.8,USP13,MYBL2
ENSG00000058063.15,ATP11B,MYBL2
ENSG00000058262.9,SEC61A1,MYBL2
ENSG00000058272.16,PPP1R12A,MYBL2
ENSG00000058453.16,CROCC,MYBL2
ENSG00000058600.15,POLR3E,MYBL2
ENSG00000058729.10,RIOK2,MYBL2
ENSG00000058804.11,NDC1,MYBL2
ENSG00000059122.16,FLYWCH1,MYBL2
ENSG00000059377.15,TBXAS1,MYBL2
ENSG00000059378.12,PARP12,MYBL2
ENSG00000059573.8,ALDH18A1,MYBL2
ENSG00000059588.9,TARBP1,MYBL2
ENSG00000059758.7,CDK17,MYBL2
ENSG00000059769.19,DNAJC25,MYBL2
ENSG00000059915.16,PSD,MYBL2
ENSG00000060069.16,CTDP1,MYBL2
ENSG00000060339.13,CCAR1,MYBL2
ENSG00000060491.16,OGFR,MYBL2
ENSG00000060566.13,CREB3L3,MYBL2
ENSG00000060642.10,PIGV,MYBL2
ENSG00000060656.19,PTPRU,MYBL2
ENSG00000060656.19,PTPRU,MYBL2
ENSG00000060688.12,SNRNP40,MYBL2
ENSG00000060762.18,MPC1,MYBL2
ENSG00000060971.17,ACAA1,MYBL2
ENSG00000061676.14,NCKAP1,MYBL2
ENSG00000061794.12,MRPS35,MYBL2
ENSG00000061936.9,SFSWAP,MYBL2
ENSG00000061987.14,MON2,MYBL2
ENSG00000062194.15,GPBP1,MYBL2
ENSG00000062485.18,CS,MYBL2
ENSG00000062582.13,MRPS24,MYBL2
ENSG00000062650.17,WAPL,MYBL2
ENSG00000062716.11,VMP1,MYBL2
ENSG00000062725.9,APPBP2,MYBL2
ENSG00000062822.12,POLD1,MYBL2
